recipe_id,is_pancake,servings,agave,baking_powder,baking_soda,bran,butter,buttermilk,cheese,chocolate,cornmeal,cream,cream_cheese,eggs,flour,frosting,fruit,fruit_juice,honey,low_cal_sweetener,margarine,mayonnaise,milk,mix,molasses,nut,oats,oil,other,salt,shortening,sour_cream,spice,starch,sugar,syrup,vanilla,vegetable,vinegar,water,wheat_germ,yeast,yogurt,total_volume,total_liquid,prop_liquid,total_fat,prop_fat
13789,other,18,NA,0.0017361083333333333,5.787027777777778e-4,NA,NA,NA,NA,NA,NA,NA,NA,0.1111111111111111,0.1111111111111111,NA,0.6388888888888888,0.041666666666666664,NA,NA,0.013888888888888888,NA,NA,NA,NA,0.08333333333333333,NA,NA,NA,NA,0.027777777777777776,NA,0.0034722166666666665,NA,0.0625,NA,0.0011574055555555556,NA,NA,NA,NA,NA,NA,0.2638888777777778,0.041666666666666664,0.15789474349030497,0.027777777777777776,0.10526316232686997
7176,other,24,NA,NA,NA,NA,0.041666666666666664,NA,NA,NA,NA,NA,NA,0.041666666666666664,0.16666666666666666,NA,0.010416666666666666,NA,NA,NA,NA,NA,0.04253472083333334,0.009114583333333334,NA,0.010416666666666666,NA,NA,NA,4.340270833333333e-4,NA,NA,0.0017361083333333333,NA,0.10677083333333333,NA,8.680541666666666e-4,NA,NA,0.010416666666666666,NA,0.001953121875,NA,0.3821614489583333,0.0529513875,0.1385576374705792,0.041666666666666664,0.10902896349236299
235614,other,8,NA,NA,NA,NA,NA,NA,NA,NA,0.0078125,NA,NA,NA,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003255203125,NA,NA,NA,NA,NA,NA,NA,0.0625,NA,0.1328125,NA,6.51040625e-4,NA,0.5195312437499999,0.1328125,0.2556391008197185,0,0
255400,other,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,0.09375,NA,NA,NA,NA,0.015625,0.0625,0.0026041625,NA,NA,NA,NA,0.046875,NA,NA,NA,NA,NA,NA,0.001953125,NA,0.4733072875,0.09375,0.19807427959790286,0.015625,0.03301237993298381
264195,other,10,NA,0.001041665,0.001041665,NA,0.025,NA,0.275,NA,NA,NA,NA,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20416666,0.00208333,NA,NA,NA,NA,0.00625,NA,NA,NA,NA,NA,NA,NA,0.1,0.91458332,0.1,0.10933940933888889,0.025,0.027334852334722222
230396,other,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21428571428571427,NA,NA,0.017857142857142856,NA,NA,NA,NA,NA,NA,NA,0.008928571428571428,NA,0.017857142857142856,NA,0.0022321392857142857,NA,NA,NA,NA,0.006696428571428571,NA,NA,0.013392857142857142,NA,0.07142857142857142,NA,0.0037202321428571427,NA,0.33407737142857136,0.08928571428571427,0.26726058668359803,0.017857142857142856,0.05345211733671961
214817,other,16,NA,0.0026041625,NA,NA,0.0390625,0.03125,NA,NA,NA,NA,NA,0.125,0.140625,NA,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,0.07421875,NA,NA,NA,7.324208333333333e-4,NA,NA,3.255203125e-4,NA,0.08203125,NA,NA,NA,NA,NA,NA,NA,NA,0.2966308536458333,0.03125,0.10534979627342268,0.0390625,0.13168724534177836
228885,other,12,NA,NA,NA,NA,NA,NA,0.08333333333333333,NA,NA,NA,NA,0.16666666666666666,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020833333333333332,NA,0.0021701354166666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10416666666666667,NA,NA,NA,0.5855034687499999,0.10416666666666667,0.1779095636940523,0.020833333333333332,0.03558191273881046
254377,other,12,NA,NA,0.004340270833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08333333333333333,NA,NA,NA,NA,NA,NA,NA,0.046875,NA,NA,NA,NA,0.020833333333333332,NA,4.340270833333333e-4,NA,NA,5.425340277777777e-4,NA,0.08333333333333333,NA,NA,NA,8.680541666666666e-4,NA,NA,NA,NA,0.24055988611111115,0.046875,0.19485792397801982,0.020833333333333332,0.0866035217680088
69436,other,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,0.0031249949999999998,NA,1.053124995,0.35,0.33234421522774704,0,0
67396,other,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,NA,NA,NA,NA,NA,NA,NA,0.125,NA,NA,NA,NA,NA,NA,0.0017361083333333333,NA,NA,NA,NA,0.005208333333333333,NA,NA,NA,NA,0.125,NA,0.0026041666666666665,NA,0.6345486083333334,0.25,0.3939808498778915,0,0
